column1      ordemproduto column2 column3                                  penultimo                 resultado_1 ultimo                    resultado_2 
------------ ------------ ------- ---------------------------------------- ------------------------- ----------- ------------------------- ----------- 
BDSicoob0001 800          1       BACKUP BD ANTES DO FECHAMENTO            2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
BDSicoob0001 800          25      SINALIZAR INICIO DO FECH CAPTAÇÃO        2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
BDSicoob0001 800          50      CONSISTÊNCIA FECHAMENTO BANCOOB MANHÃ    2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
BDSicoob0001 800          100     CONSISTÊNCIAS CAPTAÇÃO REMUNERADA        2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
BDSicoob0001 800          150     CONSISTÊNCIAS DE INTEGRIDADE CAPTAÇÃO    2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
BDSicoob0001 800          200     RELATÓRIO - APLICAÇÕES PROGRAMADAS       2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
BDSicoob0001 800          250     APLICAÇÃO PROGRAMADA                     2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
BDSicoob0001 800          275     APLICAÇÃO PROGRAMADA NOS CANAIS          2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
BDSicoob0001 800          300     REAPLICAÇÃO                              2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
BDSicoob0001 800          350     BONIFICAÇÃO DE CPMF                      2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
BDSicoob0001 800          400     REPACTUAÇÃO DE TAXAS                     2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
BDSicoob0001 800          425     TRANSFERÊNCIA APLICAÇÕES DAP             2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
BDSicoob0001 800          450     APROPRIAÇÃO DIÁRIA DE DESPESAS           2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
BDSicoob0001 800          700     GERAÇÃO VALORES CONTÁBEIS                2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
BDSicoob0001 800          800     MECANISMO CONTÁBIL                       2017-01-26T00:00:00-02:00 X           2017-01-27T00:00:00-02:00 X           
